OrderID,ProductID,SupplierPrice,SalePrice,Quantity,Discount,Profit
CA-2016-152156,FUR-BO-10001798,241.0032,261.96,2,0.0,41.9136
CA-2016-152156,FUR-CH-10000454,658.7460000000001,731.94,3,0.0,219.582
CA-2016-138688,OFF-LA-10000240,11.184299999999999,14.62,2,0.0,6.8714
US-2015-108966,FUR-TA-10000577,603.273825,957.5775,5,0.45,-383.031
US-2015-108966,OFF-ST-10000760,16.636200000000002,22.368,2,0.2,2.5164
CA-2014-115812,FUR-FU-10001487,46.8358,48.86,7,0.0,14.1694
CA-2014-115812,OFF-AR-10002833,6.788600000000001,7.28,4,0.0,1.9656
CA-2014-115812,TEC-PH-10002275,710.6024000000002,907.152,6,0.2,90.7152
CA-2014-115812,OFF-BI-10003910,12.875700000000002,18.504,3,0.2,5.7825
CA-2014-115812,OFF-AP-10002892,108.006,114.9,5,0.0,34.47
CA-2014-115812,FUR-TA-10001539,1355.4684000000002,1706.184,9,0.2,85.3092
CA-2014-115812,TEC-PH-10002033,712.0500000000001,911.424,4,0.2,68.3568
CA-2017-114412,OFF-PA-10002365,10.6272,15.552,3,0.2,5.4432
CA-2016-161389,OFF-BI-10003656,282.18340000000006,407.976,3,0.2,132.5922
US-2015-118983,OFF-AP-10002311,38.5336,68.81,5,0.8,-123.858
US-2015-118983,OFF-BI-10000756,1.7808,2.544,3,0.8,-3.816
CA-2014-105893,OFF-ST-10004186,663.6604,665.88,6,0.0,13.3176
CA-2014-167164,OFF-ST-10000107,50.505,55.5,2,0.0,9.99
CA-2014-143336,OFF-AR-10003056,7.3188,8.56,2,0.0,2.4824
CA-2014-143336,TEC-PH-10001949,165.44699999999997,213.48,3,0.2,16.011
CA-2014-143336,OFF-BI-10002215,16.33,22.72,4,0.2,7.384
CA-2016-137330,OFF-AR-10000246,18.7372,19.46,7,0.0,5.0596
CA-2016-137330,OFF-AP-10001492,58.0988,60.34,7,0.0,15.6884
US-2017-156909,FUR-CH-10002774,50.4702,71.372,2,0.3,-1.0196
CA-2015-106320,FUR-TA-10000577,964.5417000000001,1044.63,3,0.0,240.2649
CA-2016-121755,OFF-BI-10001634,7.2072,11.648,2,0.2,4.2224
CA-2016-121755,TEC-AC-10003027,86.6453,90.57,3,0.0,11.7741
US-2015-150630,FUR-BO-10004834,1779.5795999999998,3083.43,7,0.5,-1665.0522
US-2015-150630,OFF-BI-10000474,6.412000000000001,9.618,2,0.7,-7.0532
US-2015-150630,FUR-FU-10004848,94.18500000000002,124.2,3,0.2,15.525
US-2015-150630,OFF-EN-10001509,2.0604000000000005,3.264,2,0.2,1.1016
US-2015-150630,OFF-AR-10004042,67.425,86.304,6,0.2,9.7092
US-2015-150630,OFF-BI-10001525,3.0099000000000005,6.858,6,0.7,-5.715
US-2015-150630,OFF-AR-10001683,10.835,15.76,2,0.2,3.546
CA-2017-107727,OFF-PA-10000249,20.262000000000004,29.472,3,0.2,9.9468
CA-2016-117590,TEC-PH-10004977,860.3961000000002,1097.544,7,0.2,123.4737
CA-2016-117590,FUR-FU-10003664,105.9606,190.92,5,0.6,-147.963
CA-2015-117415,OFF-EN-10002986,86.72740000000002,113.328,9,0.2,35.415
CA-2015-117415,FUR-BO-10002545,377.6902559999999,532.3992,3,0.32,-46.9764
CA-2015-117415,FUR-CH-10004218,153.48959999999997,212.058,3,0.3,-15.147
CA-2015-117415,TEC-PH-10000486,286.49530000000004,371.168,4,0.2,41.7564
CA-2017-120999,TEC-PH-10004093,113.59530000000001,147.168,4,0.2,16.5564
CA-2016-101343,OFF-ST-10003479,75.93299999999999,77.88,2,0.0,3.894
CA-2017-139619,OFF-ST-10003282,71.712,95.616,2,0.2,9.5616
CA-2016-118255,TEC-AC-10000171,36.0943,45.98,2,0.0,19.7714
